,route_name,from_stop_name,to_stop_name,total_passenger,total_amount,stop-number,from_lat,from_long,to_lat,to_long
0,7015,apna bazar,borivali station east,6,90,29021,19.275396,72.867557,19.275396,72.867557
1,7015,apna bazar,dahisar station road east,10,100,29021,19.275396,72.867557,19.275396,72.867557
2,7015,apna bazar,golden chemicals,2,20,29021,19.275396,72.867557,19.275396,72.867557
3,7015,apna bazar,jammu and kashmir bank or jangid circle,9,45,29021,19.275396,72.867557,19.275396,72.867557
4,7015,apna bazar,ketaki pada,3,30,29021,19.275396,72.867557,19.275396,72.867557
5,7015,apna bazar,magathane depot,1,15,29021,19.275396,72.867557,19.275396,72.867557
6,7015,apna bazar,magathane telecom exchange,1,15,29021,19.275396,72.867557,19.275396,72.867557
7,7015,apna bazar,mahindra company gate or b h a d colony,1,15,29021,19.275396,72.867557,19.275396,72.867557
8,7015,apna bazar,mira road station east,46,230,29021,19.275396,72.867557,19.275396,72.867557
9,7015,apna bazar,novelty silk mill,9,90,29021,19.275396,72.867557,19.275396,72.867557
10,7015,apna bazar,samata nagar bus station kandivali east,5,100,29021,19.275396,72.867557,19.275396,72.867557
11,7015,borivali station east,apna bazar,18,180,29097,19.227846,72.857949,19.227846,72.857949
12,7015,borivali station east,dahisar station road east,67,335,29097,19.227846,72.857949,19.227846,72.857949
13,7015,borivali station east,daulat nagar,8,40,29097,19.227846,72.857949,19.227846,72.857949
14,7015,borivali station east,golden chemicals,277,1385,29097,19.227846,72.857949,19.227846,72.857949
15,7015,borivali station east,jammu and kashmir bank or jangid circle,6,60,29097,19.227846,72.857949,19.227846,72.857949
16,7015,borivali station east,kashi mira,3,45,29097,19.227846,72.857949,19.227846,72.857949
17,7015,borivali station east,ketaki pada,15,75,29097,19.227846,72.857949,19.227846,72.857949
18,7015,borivali station east,magathane depot,33,165.06,29097,19.227846,72.857949,19.227846,72.857949
19,7015,borivali station east,magathane telecom exchange,12,60,29097,19.227846,72.857949,19.227846,72.857949
20,7015,borivali station east,mahindra company gate or b h a d colony,10,50,29097,19.227846,72.857949,19.227846,72.857949
21,7015,borivali station east,mira road station east,33,330,29097,19.227846,72.857949,19.227846,72.857949
22,7015,borivali station east,novelty silk mill,33,165,29097,19.227846,72.857949,19.227846,72.857949
23,7015,borivali station east,omkareshwar mandir,1,5,29097,19.227846,72.857949,19.227846,72.857949
24,7015,borivali station east,samata nagar bus station kandivali east,450,2250.06,29097,19.227846,72.857949,19.227846,72.857949
25,7015,borivali station east,srushti,37,370,29097,19.227846,72.857949,19.227846,72.857949
26,7015,dahisar station road east,apna bazar,84,420.06,29114,19.248635,72.862483,19.248635,72.862483
27,7015,dahisar station road east,borivali station east,162,810.06,29114,19.248635,72.862483,19.248635,72.862483
28,7015,dahisar station road east,daulat nagar,3,15,29114,19.248635,72.862483,19.248635,72.862483
29,7015,dahisar station road east,golden chemicals,116,580.06,29114,19.248635,72.862483,19.248635,72.862483
30,7015,dahisar station road east,jammu and kashmir bank or jangid circle,2,20,29114,19.248635,72.862483,19.248635,72.862483
31,7015,dahisar station road east,kashi mira,5,50,29114,19.248635,72.862483,19.248635,72.862483
32,7015,dahisar station road east,ketaki pada,10,50,29114,19.248635,72.862483,19.248635,72.862483
33,7015,dahisar station road east,magathane depot,91,455,29114,19.248635,72.862483,19.248635,72.862483
34,7015,dahisar station road east,magathane telecom exchange,63,315,29114,19.248635,72.862483,19.248635,72.862483
35,7015,dahisar station road east,mahindra company gate or b h a d colony,10,100,29114,19.248635,72.862483,19.248635,72.862483
36,7015,dahisar station road east,mira road station east,26,260,29114,19.248635,72.862483,19.248635,72.862483
37,7015,dahisar station road east,novelty silk mill,2,10,29114,19.248635,72.862483,19.248635,72.862483
38,7015,dahisar station road east,omkareshwar mandir,16,80,29114,19.248635,72.862483,19.248635,72.862483
39,7015,dahisar station road east,samata nagar bus station kandivali east,44,440,29114,19.248635,72.862483,19.248635,72.862483
40,7015,dahisar station road east,srushti,127,635,29114,19.248635,72.862483,19.248635,72.862483
41,7015,daulat nagar,apna bazar,10,100,29123,19.236447,72.859180,19.236447,72.859180
42,7015,daulat nagar,borivali station east,6,30,29123,19.236447,72.859180,19.236447,72.859180
43,7015,daulat nagar,dahisar station road east,19,95,29123,19.236447,72.859180,19.236447,72.859180
44,7015,daulat nagar,golden chemicals,42,210,29123,19.236447,72.859180,19.236447,72.859180
45,7015,daulat nagar,jammu and kashmir bank or jangid circle,4,40,29123,19.236447,72.859180,19.236447,72.859180
46,7015,daulat nagar,kashi mira,2,30,29123,19.236447,72.859180,19.236447,72.859180
47,7015,daulat nagar,ketaki pada,9,45,29123,19.236447,72.859180,19.236447,72.859180
48,7015,daulat nagar,magathane depot,11,55,29123,19.236447,72.859180,19.236447,72.859180
49,7015,daulat nagar,magathane telecom exchange,6,30,29123,19.236447,72.859180,19.236447,72.859180
50,7015,daulat nagar,mahindra company gate or b h a d colony,9,45.12,29123,19.236447,72.859180,19.236447,72.859180
51,7015,daulat nagar,mira road station east,20,200,29123,19.236447,72.859180,19.236447,72.859180
52,7015,daulat nagar,novelty silk mill,42,210,29123,19.236447,72.859180,19.236447,72.859180
53,7015,daulat nagar,omkareshwar mandir,3,15,29123,19.236447,72.859180,19.236447,72.859180
54,7015,daulat nagar,samata nagar bus station kandivali east,5,50,29123,19.236447,72.859180,19.236447,72.859180
55,7015,daulat nagar,srushti,46,230,29123,19.236447,72.859180,19.236447,72.859180
56,7015,golden chemicals,apna bazar,2,10,29168,19.263041,72.873794,19.263041,72.873794
57,7015,golden chemicals,borivali station east,204,1020,29168,19.263041,72.873794,19.263041,72.873794
58,7015,golden chemicals,dahisar station road east,63,315,29168,19.263041,72.873794,19.263041,72.873794
59,7015,golden chemicals,daulat nagar,16,80,29168,19.263041,72.873794,19.263041,72.873794
60,7015,golden chemicals,jammu and kashmir bank or jangid circle,5,50,29168,19.263041,72.873794,19.263041,72.873794
61,7015,golden chemicals,kashi mira,3,30,29168,19.263041,72.873794,19.263041,72.873794
62,7015,golden chemicals,ketaki pada,1,5,29168,19.263041,72.873794,19.263041,72.873794
63,7015,golden chemicals,magathane depot,13,130,29168,19.263041,72.873794,19.263041,72.873794
64,7015,golden chemicals,magathane telecom exchange,1,10,29168,19.263041,72.873794,19.263041,72.873794
65,7015,golden chemicals,mahindra company gate or b h a d colony,1,10,29168,19.263041,72.873794,19.263041,72.873794
66,7015,golden chemicals,mira road station east,296,1480,29168,19.263041,72.873794,19.263041,72.873794
67,7015,golden chemicals,novelty silk mill,11,55.06,29168,19.263041,72.873794,19.263041,72.873794
