"BEST Undertaking
Route details: -  7006",,,,,,,,
Direction,Stop Sequence,Stop Name,,,Stop Number,,Latitude,Longitude
,,,7006,U7006,,,,
UP,0,MAGATHANE DEPOT,,,29231,,19.221336,72.866122
UP,1,SPECIAL STEEL RAJENDRA NAGAR,,,29422,,19.221227,72.863174
UP,2,RAJENDRA NAGAR,,,29328,,19.22118,72.860664
UP,3,DATTAPADA PHATAK,,,29120,,19.224285,72.856629
UP,4,ABHYUDAYA BANK,,,29006,,19.226147,72.857513
UP,5,BORIVALI STATION (E),,,29097,,19.227846,72.857949
UP,6,BORIVALI STATION (E),,,29086,,19.23005,72.857663
UP,7,OMKARESHWAR MANDIR,,,29298,,19.231425,72.862322
UP,8,SHREE KRISHNA NAGAR (BORIVALI),,,29406,,19.233269,72.863129
UP,9,NENSEY COLONY,,,29275,,19.237912,72.863431
UP,10,JAI MAHAKALI MANDIR,,,29233,,19.241346,72.863981
UP,11,GOKUL ANAND HOTEL,,,29165,,19.243839,72.864312
UP,12,GANESH NAGAR GOKULANAND HOTEL,,,29143,,19.246188,72.864625
UP,13,GARTAN PADA,,,29149,,19.252261,72.867912
UP,14,DAHISAR CHECK NAKA,,,29111,,19.258622,72.871733
UP,15,GOLDEN CHEMICALS,,,29168,,19.263041,72.873794
UP,16,MAHAVISHNU ; SAMRAT HOTEL,,,29237,,19.265219,72.875325
UP,17,MIRA GAONTHAN,,,29472,,19.267478,72.877046
UP,18,TRANSPORT CORPORATION,,,29441,,19.269584,72.878662
UP,19,KASHIMIRA,,,29208,,19.27301,72.883464
UP,20,KASHI VILLAGE,,,29206,,19.274492,72.885613
UP,21,WESTERN HOTEL LAXMI BAUG,,,29465,,19.27639,72.888952
UP,22,GHODBUNDER VILLAGE JUNCTION,,,29155,,19.286953,72.893875
UP,23,JAIN MANDIR,,,29194,,19.285383,72.899832
UP,24,VERSOVA BRIDGE,,,29455,,19.284969,72.904808
UP,25,CHENA BRIDGE,,,29099,,19.275712,72.916131
UP,26,KAJUPADA,,,29203,,19.279093,72.922685
UP,27,COCACOLA COMPANY,,,29103,,19.280737,72.926386
UP,28,GAIMUKH,,,29137,,19.2854,72.936384
UP,29,IMPERIAL SQUARE SOCIETY,,,29565,,19.284498,72.947648
UP,30,BHAYANDAR PADA,,,29068,,19.283685,72.952358
UP,31,POUSHMATA MANDIR,,,29317,,19.281111,72.955497
UP,32,OVALE VILLAGE,,,29301,,19.276025,72.959046
UP,33,OVALE VILLAGE,,,37371,,19.274516,72.960425
UP,34,GARIB NAGAR,,,37127,,19.272023,72.963603
UP,35,KASARVADAVALI,,,37199,,19.269755,72.965477
UP,36,SAINATH NAGAR,,,37446,,19.26691,72.966942
UP,37,ANAND NAGAR,,,37024,,19.264687,72.967836
UP,38,MUCHHALA COLLEGE,,,37297,,19.262935,72.96853
UP,39,VIJAY GARDEN,,,37523,,19.260288,72.969633
UP,40,PANCHAMRUT,,,37378,,19.257261,72.970803
UP,41,WAGHBIL,,,37531,,19.252563,72.972696
UP,42,DONGARI PADA,,,37106,,19.251073,72.973333
UP,43,PATLI PADA,,,37388,,19.246131,72.975986
UP,44,BRAHMAND AZAD NAGAR,,,37056,,19.241036,72.975824
UP,45,MULLA BAUG,,,37303,,19.239265,72.975786
UP,46,MANPADA,,,37237,,19.235236,72.976318
UP,47,LOKIM COMPANY,,,37235,,19.230123,72.976879
UP,48,TATWADNYAN VIDYAPITH,,,37497,,19.223627,72.977648
UP,49,KAPUR BAWDI,,,37195,,19.221197,72.977952
UP,50,MAJIWADA,,,37265,,19.215632,72.97819
UP,51,SIDDHIVINAYAK TOWER,,,37467,,19.209724,72.974594
