route_name,from_stop_name,to_stop_name,total_passenger,total_amount,,,,,,,,,,,,,,,,,,,,,,
7051,Bandongri,Borivali Station East,126,630,,,,,,,,,,,,,,,,,,,,,,
7051,Bandongri,Dahisar Station Road East,15,150,,,,,,,,,,,,,,,,,,,,,,
7051,Bandongri,Daulat Nagar,5,50,,,,,,,,,,,,,,,,,,,,,,
7051,Bandongri,Dindoshi Bus Station,444,2220,,,,,,,,,,,,,,,,,,,,,,
7051,Bandongri,General Arun Kumar Vaidya Marg Junction,5,25,,,,,,,,,,,,,,,,,,,,,,
7051,Bandongri,Golden Chemicals,8,80,,,,,,,,,,,,,,,,,,,,,,
7051,Bandongri,Kashi Mira,9,135,,,,,,,,,,,,,,,,,,,,,,
7051,Bandongri,Ketaki Pada,4,40,,,,,,,,,,,,,,,,,,,,,,
7051,Bandongri,Kurar Village,6,30,,,,,,,,,,,,,,,,,,,,,,
7051,Bandongri,Magathane Depot,35,175,,,,,,,,,,,,,,,,,,,,,,
7051,Bandongri,Magathane Telecom Exchange,21,105,,,,,,,,,,,,,,,,,,,,,,
7051,Bandongri,Mahindra Company Gate Or B H A D Colony,1,5,,,,,,,,,,,,,,,,,,,,,,
7051,Bandongri,Novelty Silk Mill,25,250,,,,,,,,,,,,,,,,,,,,,,
7051,Bandongri,Omkareshwar Mandir,58,290.12,,,,,,,,,,,,,,,,,,,,,,
7051,Bandongri,St Xaviers High School,7,105,,,,,,,,,,,,,,,,,,,,,,
7051,Bandongri,Transport Corporation,7,70,,,,,,,,,,,,,,,,,,,,,,
7051,Bandongri,Western Park,18,270,,,,,,,,,,,,,,,,,,,,,,
7051,Borivali Station East,Bandongri,183,915.06,,,,,,,,,,,,,,,,,,,,,,
7051,Borivali Station East,Dahisar Station Road East,100,500.06,,,,,,,,,,,,,,,,,,,,,,
7051,Borivali Station East,Daulat Nagar,1,5,,,,,,,,,,,,,,,,,,,,,,
7051,Borivali Station East,Dindoshi Bus Station,113,1130,,,,,,,,,,,,,,,,,,,,,,
7051,Borivali Station East,General Arun Kumar Vaidya Marg Junction,9,90,,,,,,,,,,,,,,,,,,,,,,
7051,Borivali Station East,Golden Chemicals,181,905,,,,,,,,,,,,,,,,,,,,,,
7051,Borivali Station East,Kashi Mira,36,360.11,,,,,,,,,,,,,,,,,,,,,,
7051,Borivali Station East,Ketaki Pada,46,230,,,,,,,,,,,,,,,,,,,,,,
7051,Borivali Station East,Kurar Village,26,260,,,,,,,,,,,,,,,,,,,,,,
7051,Borivali Station East,Magathane Depot,59,295,,,,,,,,,,,,,,,,,,,,,,
7051,Borivali Station East,Magathane Telecom Exchange,49,245,,,,,,,,,,,,,,,,,,,,,,
7051,Borivali Station East,Mahindra Company Gate Or B H A D Colony,170,850,,,,,,,,,,,,,,,,,,,,,,
7051,Borivali Station East,Novelty Silk Mill,16,80,,,,,,,,,,,,,,,,,,,,,,
7051,Borivali Station East,Omkareshwar Mandir,5,25,,,,,,,,,,,,,,,,,,,,,,
7051,Borivali Station East,St Xaviers High School,33,330,,,,,,,,,,,,,,,,,,,,,,
7051,Borivali Station East,Transport Corporation,24,240,,,,,,,,,,,,,,,,,,,,,,
7051,Borivali Station East,Western Park,235,2350.11,,,,,,,,,,,,,,,,,,,,,,
7051,Dahisar Station Road East,Bandongri,16,160,,,,,,,,,,,,,,,,,,,,,,
7051,Dahisar Station Road East,Borivali Station East,274,1370.06,,,,,,,,,,,,,,,,,,,,,,
7051,Dahisar Station Road East,Daulat Nagar,5,25,,,,,,,,,,,,,,,,,,,,,,
7051,Dahisar Station Road East,Dindoshi Bus Station,52,520,,,,,,,,,,,,,,,,,,,,,,
7051,Dahisar Station Road East,General Arun Kumar Vaidya Marg Junction,12,120,,,,,,,,,,,,,,,,,,,,,,
7051,Dahisar Station Road East,Golden Chemicals,72,360,,,,,,,,,,,,,,,,,,,,,,
7051,Dahisar Station Road East,Kashi Mira,53,265,,,,,,,,,,,,,,,,,,,,,,
7051,Dahisar Station Road East,Ketaki Pada,18,90,,,,,,,,,,,,,,,,,,,,,,
7051,Dahisar Station Road East,Kurar Village,11,110,,,,,,,,,,,,,,,,,,,,,,
7051,Dahisar Station Road East,Magathane Depot,59,295,,,,,,,,,,,,,,,,,,,,,,
7051,Dahisar Station Road East,Magathane Telecom Exchange,57,285,,,,,,,,,,,,,,,,,,,,,,
7051,Dahisar Station Road East,Mahindra Company Gate Or B H A D Colony,19,190,,,,,,,,,,,,,,,,,,,,,,
7051,Dahisar Station Road East,Novelty Silk Mill,1,5,,,,,,,,,,,,,,,,,,,,,,
7051,Dahisar Station Road East,Omkareshwar Mandir,34,170,,,,,,,,,,,,,,,,,,,,,,
7051,Dahisar Station Road East,St Xaviers High School,326,1630.12,,,,,,,,,,,,,,,,,,,,,,
7051,Dahisar Station Road East,Transport Corporation,62,310,,,,,,,,,,,,,,,,,,,,,,
7051,Dahisar Station Road East,Western Park,61,610,,,,,,,,,,,,,,,,,,,,,,
7051,Daulat Nagar,Bandongri,8,80,,,,,,,,,,,,,,,,,,,,,,
7051,Daulat Nagar,Borivali Station East,8,40,,,,,,,,,,,,,,,,,,,,,,
7051,Daulat Nagar,Dahisar Station Road East,29,145,,,,,,,,,,,,,,,,,,,,,,
7051,Daulat Nagar,Dindoshi Bus Station,19,190,,,,,,,,,,,,,,,,,,,,,,
7051,Daulat Nagar,General Arun Kumar Vaidya Marg Junction,4,40,,,,,,,,,,,,,,,,,,,,,,
7051,Daulat Nagar,Golden Chemicals,81,405,,,,,,,,,,,,,,,,,,,,,,
7051,Daulat Nagar,Kashi Mira,24,240,,,,,,,,,,,,,,,,,,,,,,
7051,Daulat Nagar,Ketaki Pada,20,100,,,,,,,,,,,,,,,,,,,,,,
