route_name,from_stop_name,to_stop_name,total_passenger,total_amount,,,,,,,,,,,,,,,,,,,,,,
7015,Apna Bazar,Borivali Station East,6,90,,,,,,,,,,,,,,,,,,,,,,
7015,Apna Bazar,Dahisar Station Road East,10,100,,,,,,,,,,,,,,,,,,,,,,
7015,Apna Bazar,Golden Chemicals,2,20,,,,,,,,,,,,,,,,,,,,,,
7015,Apna Bazar,Jammu And Kashmir Bank,9,45,,,,,,,,,,,,,,,,,,,,,,
7015,Apna Bazar,Ketaki Pada,3,30,,,,,,,,,,,,,,,,,,,,,,
7015,Apna Bazar,Magathane Depot,1,15,,,,,,,,,,,,,,,,,,,,,,
7015,Apna Bazar,Magathane Telecom Exchange,1,15,,,,,,,,,,,,,,,,,,,,,,
7015,Apna Bazar,Mahindra Company Gate Or B H A D Colony,1,15,,,,,,,,,,,,,,,,,,,,,,
7015,Apna Bazar,Mira Road Station East,46,230,,,,,,,,,,,,,,,,,,,,,,
7015,Apna Bazar,Novelty Silk Mill,9,90,,,,,,,,,,,,,,,,,,,,,,
7015,Apna Bazar,Samata Nagar Bus Station Kandivali East,5,100,,,,,,,,,,,,,,,,,,,,,,
7015,Borivali Station East,Apna Bazar,18,180,,,,,,,,,,,,,,,,,,,,,,
7015,Borivali Station East,Dahisar Station Road East,67,335,,,,,,,,,,,,,,,,,,,,,,
7015,Borivali Station East,Daulat Nagar,8,40,,,,,,,,,,,,,,,,,,,,,,
7015,Borivali Station East,Golden Chemicals,277,1385,,,,,,,,,,,,,,,,,,,,,,
7015,Borivali Station East,Jammu And Kashmir Bank,6,60,,,,,,,,,,,,,,,,,,,,,,
7015,Borivali Station East,Kashimira,3,45,,,,,,,,,,,,,,,,,,,,,,
7015,Borivali Station East,Ketaki Pada,15,75,,,,,,,,,,,,,,,,,,,,,,
7015,Borivali Station East,Magathane Depot,33,165.06,,,,,,,,,,,,,,,,,,,,,,
7015,Borivali Station East,Magathane Telecom Exchange,12,60,,,,,,,,,,,,,,,,,,,,,,
7015,Borivali Station East,Mahindra Company Gate Or B H A D Colony,10,50,,,,,,,,,,,,,,,,,,,,,,
7015,Borivali Station East,Mira Road Station East,33,330,,,,,,,,,,,,,,,,,,,,,,
7015,Borivali Station East,Novelty Silk Mill,33,165,,,,,,,,,,,,,,,,,,,,,,
7015,Borivali Station East,Omkareshwar Mandir,1,5,,,,,,,,,,,,,,,,,,,,,,
